---,Actor,Location,Rotation,Scale,Mesh,Materials
Row_0,Class'/Script/Engine.StaticMeshActor',"(X=0.000000,Y=60000.000000,Z=330.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water_strip.Water_strip'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_1,Class'/Script/Engine.StaticMeshActor',"(X=270000.000000,Y=-240000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_2,Class'/Script/Engine.StaticMeshActor',"(X=240000.000000,Y=-240000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_3,Class'/Script/Engine.StaticMeshActor',"(X=210000.000000,Y=-240000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_4,Class'/Script/Engine.StaticMeshActor',"(X=210000.000000,Y=-210000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_5,Class'/Script/Engine.StaticMeshActor',"(X=180000.000000,Y=-240000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_6,Class'/Script/Engine.StaticMeshActor',"(X=180000.000000,Y=-210000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_7,Class'/Script/Engine.StaticMeshActor',"(X=180000.000000,Y=-180000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_8,Class'/Script/Engine.StaticMeshActor',"(X=150000.000000,Y=-210000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_9,Class'/Script/Engine.StaticMeshActor',"(X=-90000.000000,Y=-210000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_10,Class'/Script/Engine.StaticMeshActor',"(X=-120000.000000,Y=-210000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_11,Class'/Script/Engine.StaticMeshActor',"(X=-210000.000000,Y=-120000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_12,Class'/Script/Engine.StaticMeshActor',"(X=120000.000000,Y=90000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_13,Class'/Script/Engine.StaticMeshActor',"(X=90000.000000,Y=90000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_14,Class'/Script/Engine.StaticMeshActor',"(X=30000.000000,Y=90000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_15,Class'/Script/Engine.StaticMeshActor',"(X=0.000000,Y=90000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_16,Class'/Script/Engine.StaticMeshActor',"(X=-30000.000000,Y=90000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_17,Class'/Script/Engine.StaticMeshActor',"(X=-60000.000000,Y=90000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_18,Class'/Script/Engine.StaticMeshActor',"(X=-150000.000000,Y=-210000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_19,Class'/Script/Engine.StaticMeshActor',"(X=-180000.000000,Y=-210000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_20,Class'/Script/Engine.StaticMeshActor',"(X=-210000.000000,Y=-210000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_21,Class'/Script/Engine.StaticMeshActor',"(X=-180000.000000,Y=210000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_22,Class'/Script/Engine.StaticMeshActor',"(X=-150000.000000,Y=210000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_23,Class'/Script/Engine.StaticMeshActor',"(X=-120000.000000,Y=210000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
Row_24,Class'/Script/Engine.StaticMeshActor',"(X=-90000.000000,Y=210000.000000,Z=300.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/Tiles/Water.Water'","(Material'""/Game/Tiles/Water_Ocean1""')"
